"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 28 16:49:51 UTC 2026","Sun Jun 28 16:49:51 UTC 2026","1","unit","test_files_service","TestFilesService","","","Обновление файла: имя, путь и комментарий","update_file: обновление имени, пути (и os.rename) и комментария"
"passed","Sun Jun 28 16:50:23 UTC 2026","Sun Jun 28 16:50:23 UTC 2026","864","ui.selenium","test_login","TestSeleniumLogin","","","Неуспешный вход с неверным паролем (Selenium)","Тест входа с неверным паролем через Selenium."
"passed","Sun Jun 28 16:49:51 UTC 2026","Sun Jun 28 16:49:51 UTC 2026","1","unit","test_files_service","TestFilesService","","","Создание директории пользователя и установка параметров","__init__: создает директорию пользователя и выставляет параметры"
"passed","Sun Jun 28 16:49:54 UTC 2026","Sun Jun 28 16:49:54 UTC 2026","674","ui.playwright","test_login","TestLogin","","","Успешный вход с валидными данными","Тест успешного входа."
"passed","Sun Jun 28 16:49:56 UTC 2026","Sun Jun 28 16:49:56 UTC 2026","238","ui.playwright","test_login","TestLogin","","","Переход на страницу регистрации","Тест перехода на страницу регистрации."
"passed","Sun Jun 28 16:49:54 UTC 2026","Sun Jun 28 16:49:56 UTC 2026","1079","ui.playwright","test_login","TestLogin","","","Неуспешный вход с неверным паролем","Тест входа с неверным паролем."
"passed","Sun Jun 28 16:49:51 UTC 2026","Sun Jun 28 16:49:51 UTC 2026","2","unit","test_files_service","TestFilesService","","","Подсчет статистики с категоризацией файлов","get_user_statistics: корректный подсчёт total_used_mb, категорий и free_mb"
"passed","Sun Jun 28 16:49:51 UTC 2026","Sun Jun 28 16:49:51 UTC 2026","2","unit","test_files_service","TestFilesService","","","Получение использованного места через scalar()","_get_user_used_bytes: подменяем результат scalar() и проверяем возврат"
"passed","Sun Jun 28 16:50:18 UTC 2026","Sun Jun 28 16:50:22 UTC 2026","3352","ui.selenium","test_login","TestSeleniumLogin","","","Успешный вход с валидными данными (Selenium)","Тест успешного входа через Selenium."
"passed","Sun Jun 28 16:49:48 UTC 2026","Sun Jun 28 16:49:48 UTC 2026","7","api.files","test_endpoints","TestFilesAPI","","","Получение списка файлов","Тест получения списка файлов"
"passed","Sun Jun 28 16:49:49 UTC 2026","Sun Jun 28 16:49:49 UTC 2026","8","api.files","test_endpoints","TestFilesAPI","","","Получение отфильтрованного списка файлов","Тест получения списка файлов"
"passed","Sun Jun 28 16:49:51 UTC 2026","Sun Jun 28 16:49:51 UTC 2026","2","unit","test_files_service","TestFilesService","","","Получение файла по ID с проверкой ошибок","get_file_by_id: успешное получение и ошибки 404 для не найденного и другого владельца"
"passed","Sun Jun 28 16:50:24 UTC 2026","Sun Jun 28 16:50:25 UTC 2026","310","ui.selenium","test_login","TestSeleniumLogin","","","Переход на страницу регистрации (Selenium)","Тест перехода на страницу регистрации через Selenium."
"passed","Sun Jun 28 16:49:51 UTC 2026","Sun Jun 28 16:49:51 UTC 2026","1","unit","test_files_service","TestFilesService","","","Удаление файла с проверкой os.remove и удаления из БД","delete_file: если файл существует — вызывается os.remove и запись удаляется из БД"
