id;Название_ru;Name_en;id_станции;Направление;lat;lon
14800;"шоссе Энтузиастов, кинотеатр ""Факел""";"shosse Entuziastov, cinema ""Fakel""";82;in;55.7516306;37.7162886
14801;"шоссе Энтузиастов, кинотеатр ""Факел""";"shosse Entuziastov, cinema ""Fakel""";82;out;55.7516306;37.7162886
14810;шоссе Энтузиастов, трамвайная остановка;shosse Entuziastov, tramway stop;82;in;55.7515293;37.7163578
14811;"шоссе Энтузиастов, кинотеатр ""Факел""";shosse Entuziastov, tramway stop;82;out;55.7515293;37.7163578
14820;ул. Авиамоторная, ул. Красноказарменная;ul. Aviamotornaja, ul. Krasnokazarmennaja;82;in;55.7519588;37.71678911
14821;ул. Авиамоторная, ул. Красноказарменная;ul. Aviamotornaja, ul. Krasnokazarmennaja;82;out;55.7519588;37.71678911
14830;шоссе Энтузиастов, 2-й Кабельный проезд;shosse Entuziastov, Vtoroj Kabel'nyj proezd;82;in;55.7512042;37.7165431
14831;шоссе Энтузиастов, 2-й Кабельный проезд;shosse Entuziastov, Vtoroj Kabel'nyj proezd;82;out;55.7512042;37.7165431
14840;сквер им. Калинина, Лефортовский рынок;skver im. Kalinina, Lefortovskij market;82;in;55.75228308;37.71715318
14841;сквер им. Калинина, Лефортовский рынок;skver im. Kalinina, Lefortovskij market;82;out;55.75228308;37.71715318
14850;Дангауэровский путепровод;Dangaujerovskij overpass;82;in;55.75191105;37.71755903
14851;Дангауэровский путепровод;Dangaujerovskij overpass;82;out;55.75191105;37.71755903
14860;ул. Авиамоторная, ж/д платформа;ul. Aviamotornaja, railway platform;82;in;55.7509103;37.7178209
14861;ул. Авиамоторная, ж/д платформа;ul. Aviamotornaja, railway platform;82;out;55.7509103;37.7178209
14870;"ж/д платформа ""Новая"", ул. 2-я Кабельная";"railway platform ""Novaja"", ul. Vtoraja Kabel'naja";82;in;55.7510902;37.7179455
14871;"ж/д платформа ""Новая"", ул. 2-я Кабельная";"railway platform ""Novaja"", ul. Vtoraja Kabel'naja";82;out;55.7510902;37.7179455
14880;"ул. Авиамоторная, НИИ ""Интеграл""";"ul. Aviamotornaja, NII ""Integral""";82;in;55.7508406;37.7175337
14881;"ул. Авиамоторная, НИИ ""Интеграл""";"ul. Aviamotornaja, NII ""Integral""";82;out;55.7508406;37.7175337
14890;Автозаводская пл., 1-й, 2-й Автозаводский пр-д;Avtozavodskaja square, Pervyj i Vtoroj Avtozavodskij proezd;29;both;55.7063731;37.65727076
14900;"ул. Мастеркова, стадион ""Торпедо""";"ul. Masterkova, staduim ""Torpedo""";29;both;55.70864009;37.6573207
14910;ул. Автозаводская;ul. Avtozavodskaja;29;both;55.70840587;37.65828504
14920;ул. Дмитрия Ульянова, ул. Ивана Бабушкина;ul. Dmitrija Ul'janova, ul. Ivana Babushkina;101;out;55.68718607;37.57238937
14921;ул. Профсоюзная, ул. Львова, ул. Кедрова;ul. Profsojuznaja, ul. L'vova, ul. Kedrova;101;out;55.68698826;37.57219156
14922;ул. Дмитрия Ульянова, ул. Ивана Бабушкина;ul. Dmitrija Ul'janova, ul. Ivana Babushkina;101;in;55.68718607;37.57238937
14923;ул. Профсоюзная, ул. Львова, ул. Кедрова;ul. Profsojuznaja, ul. L'vova, ul. Kedrova;101;in;55.68698826;37.57219156
14930;ул. Дмитрия Ульянова, ул. Новочеремушкинская;ul. Dmitrija Ul'janova, ul. Novocheremushkinskaja;101;out;55.6869716;37.57305897
14931;ул. Профсоюзная, ул. Кедрова;ul. Profsojuznaja, ul. Kedrova;101;out;55.68677536;37.57284763
14932;ул. Дмитрия Ульянова, ул. Новочеремушкинская;ul. Dmitrija Ul'janova, ul. Novocheremushkinskaja;101;in;55.6869716;37.57305897
14933;ул. Профсоюзная, ул. Кедрова;ul. Profsojuznaja, ul. Kedrova;101;in;55.68677536;37.57284763
14940;проспект 60-летия Октября, Черемушкинский пр-д;prospekt Shestidesjatiletija Oktjabrja, Cheremushkinskij proezd;101;both;55.68881224;37.57414197
14941;ул. Дмитрия Ульянова, Эндокринологический центр;ul. Dmitrija Ul'janova, Endocrinology center;101;both;55.68861454;37.57392692
14950;проспект 60-летия Октября, ул. Гримау;prospekt Shestidesjatiletija Oktjabrja, ul. Grimau;101;both;55.68861939;37.57484329
14951;площадь Хо Ши Мина;square Ho Shi Mina;101;both;55.68833914;37.5745457
14960;ул. Воздвиженка, РГБ;ul. Vozdvizhenka, RGB;54;in;55.75227573;37.61012101
14961;ул. Воздвиженка, РГБ;ul. Vozdvizhenka, RGB;54;out;55.75227573;37.61012101
14962;ул. Воздвиженка, РГБ;ul. Vozdvizhenka, RGB;44;in;55.75227573;37.61012101
14963;ул. Воздвиженка, РГБ;ul. Vozdvizhenka, RGB;44;out;55.75227573;37.61012101
14964;ул. Воздвиженка, РГБ;ul. Vozdvizhenka, RGB;11;in;55.75227573;37.61012101
14965;ул. Воздвиженка, РГБ;ul. Vozdvizhenka, RGB;11;out;55.75227573;37.61012101
14970;ул. Моховая, РГБ;ul. Mohovaja, RGB;54;in;55.75198235;37.61026076
14971;ул. Моховая, РГБ;ul. Mohovaja, RGB;54;out;55.75198235;37.61026076
14972;ул. Моховая, РГБ;ul. Mohovaja, RGB;44;in;55.75198235;37.61026076
14973;ул. Моховая, РГБ;ul. Mohovaja, RGB;44;out;55.75198235;37.61026076
14974;ул. Моховая, РГБ;ul. Mohovaja, RGB;11;in;55.75198235;37.61026076
14975;ул. Моховая, РГБ;ul. Mohovaja, RGB;11;out;55.75198235;37.61026076
14976;ул. Моховая, ул. Знаменка;ul. Mohovaja, ul. Znamenka;11;out;55.75053692;37.60920082
14977;ул. Моховая, ул. Знаменка;ul. Mohovaja, ul. Znamenka;140;out;55.75053692;37.60920082
14978;ул. Моховая, ул. Знаменка;ul. Mohovaja, ul. Znamenka;11;in;55.75053692;37.60920082
14979;ул. Моховая, ул. Знаменка;ul. Mohovaja, ul. Znamenka;140;in;55.75053692;37.60920082
14980;Александровский сад, кассы Московского Кремля;Aleksandrovskij sad, Moscow Kremlin ticket office;54;in;55.75188995;37.61254218
14981;Александровский сад, кассы Московского Кремля;Aleksandrovskij sad, Moscow Kremlin ticket office;54;out;55.75188995;37.61254218
14982;Александровский сад, кассы Московского Кремля;Aleksandrovskij sad, Moscow Kremlin ticket office;44;in;55.75188995;37.61254218
14983;Александровский сад, кассы Московского Кремля;Aleksandrovskij sad, Moscow Kremlin ticket office;44;out;55.75188995;37.61254218
14984;Александровский сад, кассы Московского Кремля;Aleksandrovskij sad, Moscow Kremlin ticket office;11;in;55.75188995;37.61254218
14985;Александровский сад, кассы Московского Кремля;Aleksandrovskij sad, Moscow Kremlin ticket office;11;out;55.75188995;37.61254218
14990;проспект Мира;prospekt Mira;91;out;55.80768499;37.63865132
14991;проспект Мира;prospekt Mira;91;in;55.80790697;37.63856947
15000;ул. Ключевая;ul. Kljuchevaja;225;both;55.63218265;37.76710805
15010;ул. Братеевская;ul. Brateevskaja;225;both;55.63370843;37.76521561
15011;ул. Братеевская;ul. Brateevskaja;225;both;55.6337779;37.76548359
15020;ул. Череповецкая, парк Чермянка;ul. Cherepoveckaja, park Chermjanka;129;both;55.89876237;37.58644996
15022;Алтуфьевское шоссе, пандус;Altuf'evskoe shosse, ramp;129;both;55.89901875;37.58642494
15030;ул. Череповецкая;ul. Cherepoveckaja;129;both;55.897074;37.58659065
15032;Алтуфьевское шоссе, ул. Илимская;Altuf'evskoe shosse, ul. Ilimskaja;129;both;55.8966394;37.58656877
15040;ул. Лескова, Шенкурский пр-д;ul. Leskova, Shenkurskij proezd;129;both;55.89706149;37.58781629
15042;ул. Пришвина;ul. Prishvina;129;both;55.89661438;37.58781004
15050;ул. Лескова;ul. Leskova;129;both;55.89874361;37.5878413
15052;Алтуфьевский лесопарк;Altuf'evskij lesopark;129;both;55.89923136;37.58785693
15060;"дублер Варшавского шоссе, ЖК ""Аннинский"", лесопарк";"dubler Varshavskogo shosse, housing estate ""Anninskij"", lesopark";163;both;55.5838751;37.59659198
15062;Варшавское шоссе (четная сторона);Varshavskoe shosse (even side);163;both;55.58342837;37.59714
15070;Варшавское шоссе, перехватывающая парковка, ГАИ;Varshavskoe shosse, parking, GAI;163;both;55.58143608;37.59616882
15072;Варшавское шоссе (нечетная сторона), Макдональдс;Varshavskoe shosse (odd side), McDonalds;163;both;55.58368087;37.59789612
15074;Варшавское шоссе;Varshavskoe shosse;163;both;55.58362928;37.59731537
15076;Варшавское шоссе (нечетная сторона), пандус;Varshavskoe shosse (odd side), ramp;163;both;55.58353797;37.59783369
15080;улица Воздвиженка, Генштаб;ulica Vozdvizhenka, Genshtab;44;both;55.75240905;37.60339122
15090;"кинотеатр ""Художественный""";"cinema ""Hudozhestvennyj""";55;in;55.75214597;37.60167518
15091;ул. Воздвиженка;ul. Vozdvizhenka;55;in;55.75219096;37.60156045
15092;Гоголевский бульвар;Gogolevskiy boulevard;55;out;55.75215385;37.60146259
15100;Финансовая академия, ул. Викторенко;Finansovaja akademija, ul. Viktorenko;37;out;55.80048732;37.53048858
15101;Финансовая академия, ул. Викторенко;Finansovaja akademija, ul. Viktorenko;37;in;55.80048732;37.53048858
15110;"галерея ""Аэропорт"", МАДИ";"galereja ""Aeroport"", MADI";37;out;55.8013473;37.53183845
15111;"галерея ""Аэропорт"", МАДИ";"galereja ""Aeroport"", MADI";37;in;55.8013473;37.53183845
15120;Ленинградский проспект, ул. 1-я Аэропортовская;Leningradskij prospekt, ul. Pervaja Aeroportovskaja;37;both;55.79999492;37.53439016
15130;Ленинградский проспект;Leningradskij prospekt;37;both;55.80097876;37.53211329
15140;ул. Менжинского, ул. Енисейская;ul. Menzhinskogo, ul. Enisejskaja;87;both;55.86880566;37.6634266
15142;ул. Енисейская, ул. Ленская;ul. Enisejskaja, ul. Lenskaja;87;both;55.86842135;37.66322404
15150;ул. Енисейская, Староватутинский пр-д, к Яузе;ul. Enisejskaja, Starovatutinskij proezd, Jauza river;87;both;55.87075771;37.66440054
15152;ул. Менжинского, Олонецкий пр-д;ul. Menzhinskogo, Oloneckij proezd;87;both;55.87038866;37.66421741
15160;ул. Енисейская, Староватутинский пр-д, ул. Тайнинская;ul. Enisejskaja, Starovatutinskij proezd, ul. Tajninskaja;87;both;55.87062452;37.66528708
15162;ул. Менжинского, ул. Тайнинская;ul. Menzhinskogo, ul. Tajninskaja;87;both;55.87025131;37.66509979
15170;ул. Барклая, ул. Сеславинская;ul. Barklaja, ul. Seslavinskaja;61;in;55.74366355;37.49740014
15171;"ул. Барклая, ТЦ ""Горбушкин двор""";"ul. Barklaja, shopping mall ""Gorbushkin dvor""";61;out;55.74361366;37.49744326
15180;"ул. Барклая, ТЦ ""Горбушкин двор""";"ul. Barklaja, shopping mall ""Gorbushkin dvor""";61;in;55.74382973;37.49819683
15181;ул. Барклая, ул. Сеславинская;ul. Barklaja, ul. Seslavinskaja;61;out;55.74387722;37.49815201
15190;ул. Баррикадная;ul. Barrikadnaja;120;out;55.76075223;37.5815535
15191;ул. Баррикадная;ul. Barrikadnaja;120;in;55.76064941;37.58123922
15200;ул. Бауманская;ul. Baumanskaya;47;out;55.77235933;37.67920882
15201;ул. Бауманская;ul. Baumanskaya;47;in;55.77233436;37.67881619
15210;Хорошевское шоссе, ул. Розанова;Horoshevskoe shosse, ul. Rozanova;122;out;55.77335546;37.54447085
15211;Хорошевское шоссе, ул. Розанова;Horoshevskoe shosse, ul. Rozanova;122;in;55.77335546;37.54447085
15220;"Хорошевское шоссе, ТЦ ""На Беговой""";"Horoshevskoe shosse, shopping mall ""Na Begovoj""";122;out;55.7739818;37.54452534
15221;"Хорошевское шоссе, ТЦ ""На Беговой""";"Horoshevskoe shosse, shopping mall ""Na Begovoj""";122;in;55.7739818;37.54452534
15230;Хорошевское шоссе, автобусная остановка, ж/д платформа;Horoshevskoe shosse, bus stop, railway platform;122;out;55.77326352;37.54905697
15231;Хорошевское шоссе, автобусная остановка, ж/д платформа;Horoshevskoe shosse, bus stop, railway platform;122;in;55.77326352;37.54905697
15232;ж/д платформа ;railway platform ;122;out;55.77295218;37.54898761
15233;ж/д платформа ;railway platform ;122;in;55.77295218;37.54898761
15234;Хорошевское шоссе, автобусная остановка, пандус;Horoshevskoe shosse, bus stop, ramp;122;out;55.7732861;37.54869805
15235;Хорошевское шоссе, автобусная остановка, пандус;Horoshevskoe shosse, bus stop, ramp;122;in;55.7732861;37.54869805
15240;"ул. Беговая, ОЦ ""На Беговой""";"ul. Begovaja, office center ""Na Begovoj""";122;out;55.77435794;37.54927579
15241;"ул. Беговая, ОЦ ""На Беговой""";"ul. Begovaja, office center ""Na Begovoj""";122;in;55.77435794;37.54927579
15250;Грузинский вал, Белорусский вокзал;Gruzinskij val, Belorusskij railway station;67;in;55.77541963;37.5827102
15251;Грузинский вал, Белорусский вокзал;Gruzinskij val, Belorusskij railway station;67;out;55.77530248;37.58280105
15260;вход в здание Белорусского вокзала;entrance to Belorusskij railway station building;35;in;55.77725873;37.58218169
15261;Белорусский вокзал, аэроэкспресс;Belorusskij railway station, aeroexpress;35;out;55.77749761;37.58223151
15262;Ленинградский пр-т, путепровод;Leningradskij prospekt, overpass;35;in;55.77755623;37.58214505
15270;Бутырский вал;Butyrskij val;67;both;55.77743145;37.58571551
15271;ул. Лесная;ul. Lesnaja;67;both;55.77765498;37.58624537
15281;НИИ вычислительных комплексов им.М.А.Карцева;NII vychislitel'nyh kompleksov im.M.A.Karceva;105;both;55.64185264;37.52542177
15283;НИИ вычислительных комплексов им.М.А.Карцева;NII vychislitel'nyh kompleksov im.M.A.Karceva;105;both;55.64158349;37.5252317
15291;АШАН Сити;"""AUCHAN City"" shopping mall";105;both;55.64172778;37.52606968
15293;АШАН Сити;"""AUCHAN City"" shopping mall";105;both;55.64144614;37.52587406
15300;ул. Профсоюзная (дублер);ul. Profsojuznaja (dubler);105;both;55.64381025;37.52676615
15301;ул. Профсоюзная (дублер);ul. Profsojuznaja (dubler);105;both;55.64351751;37.52657747
15310;ул. Генерала Антонова;ul. Generala Antonova;105;both;55.64368538;37.52741684
15311;ул. Генерала Антонова;ul. Generala Antonova;105;both;55.64342178;37.52722399
15320;"ТВК ""Миллион мелочей""";"shopping mall ""Million melochej""";130;out;55.88409675;37.60478381
15321;"ТВК ""Миллион мелочей""";"shopping mall ""Million melochej""";130;in;55.88409675;37.60478381
15322;"БЦ ""Бибиревский""";"business center ""Bibirevskij""";130;out;55.88386922;37.60425105
15323;"БЦ ""Бибиревский""";"business center ""Bibirevskij""";130;in;55.88386922;37.60425105
15330;"ул. Костромская, ТЦ ""Александр Лэнд""";"ul. Kostromskaja, shopping mall ""Alexander Land""";130;both;55.88443672;37.60130892
15332;ул. Костромкая, ул. Бибиревская;ul. Kostromkaja, ul. Bibirevskaja;130;both;55.8841991;37.60167786
15340;ул. Пришвина, ул. Плещеева;ul. Prishvina, ul. Plescheeva;130;out;55.88360422;37.60542062
15341;ул. Пришвина, ул. Плещеева;ul. Prishvina, ul. Plescheeva;130;in;55.88360422;37.60542062
15342;"ТК ""Гран плюс""";"shopping mall ""Gran plus""";130;out;55.88337669;37.60489202
15343;"ТК ""Гран плюс""";"shopping mall ""Gran plus""";130;in;55.88337669;37.60489202
15350;ул. Воздвиженка, Староваганьковский пер.;ul. Vozdvizhenka, Starovagan'kovskij per.;54;both;55.75229634;37.60889863
15351;ул. Воздвиженка, Староваганьковский пер.;ul. Vozdvizhenka, Starovagan'kovskij per.;44;both;55.75229634;37.60889863
15352;ул. Воздвиженка, Староваганьковский пер.;ul. Vozdvizhenka, Starovagan'kovskij per.;11;both;55.75229634;37.60889863
15353;ул. Манежная;ul. Manezhnaja;54;in;55.75175535;37.61220038
15354;ул. Манежная;ul. Manezhnaja;54;out;55.75175535;37.61220038
15355;ул. Манежная;ul. Manezhnaja;44;in;55.75175535;37.61220038
15356;ул. Манежная;ul. Manezhnaja;44;out;55.75175535;37.61220038
15357;ул. Манежная;ul. Manezhnaja;11;in;55.75175535;37.61220038
15358;ул. Манежная;ul. Manezhnaja;11;out;55.75175535;37.61220038
15360;ул. Воздвиженка, ул. Моховая, факультет журналистики МГУ;ul. Vozdvizhenka, ul. Mohovaja, MSU faculty of journalism;54;in;55.75259653;37.61085057
15361;ул. Воздвиженка, ул. Моховая, факультет журналистики МГУ;ul. Vozdvizhenka, ul. Mohovaja, MSU faculty of journalism;54;out;55.75259653;37.61085057
15362;ул. Воздвиженка, ул. Моховая, факультет журналистики МГУ;ul. Vozdvizhenka, ul. Mohovaja, MSU faculty of journalism;44;in;55.75259653;37.61085057
15363;ул. Воздвиженка, ул. Моховая, факультет журналистики МГУ;ul. Vozdvizhenka, ul. Mohovaja, MSU faculty of journalism;44;out;55.75259653;37.61085057
15364;ул. Воздвиженка, ул. Моховая, факультет журналистики МГУ;ul. Vozdvizhenka, ul. Mohovaja, MSU faculty of journalism;11;in;55.75259653;37.61085057
15365;ул. Воздвиженка, ул. Моховая, факультет журналистики МГУ;ul. Vozdvizhenka, ul. Mohovaja, MSU faculty of journalism;11;out;55.75259653;37.61085057
